lat;lon;x;y;z;val;dqc;
 65.7529;12.5765;-110774;308317;29;19.6;5;
 60.3834;5.31722;-530616;-251027;35;22.2;4;
 58.3381;8.53177;-378085;-499900;58;16.5;0;
 55.4552;13.6858;-83529;-840388;NA;16.8;1;
 62.4074;17.2608;116421;-63849;49;27.5;0;
 59.486;17.8944;163656;-387293;NA;24.5;1;
 60.2154;23.7488;482304;-276893;46;18.5;0;
 60.5411;25.5832;576656;-225939;28;19;0;
 59.127;15.143;8177;-430967;56;24.8;0;
 59.6124;5.83485;-514642;-340160;NA;18;1;
 59.0593;11.004;-228827;-431409;10;17.6;0;
 55.5993;13.394;-101669;-823821;41;17.7;0;
 59.9426;10.6858;-240426;-332057;NA;21.3;1;
 57.3417;9.77229;-314784;-617352;156.707;20.7;0;
 59.9982;20.184;288304;-322307;NA;19.2;1;
 60.3216;9.4903;-303293;-284929;944;12.8;0;
 58.3013;7.97938;-410698;-500595;48;18.8;0;
 65.6199;22.1789;329182;309817;7;15.7;0;
 59.7229;10.7324;-239455;-356642;-25;22.4;1;
 63.4166;10.35;-231187;54687;158;25.2;0;
 69.6353;18.9344;153268;744267;0;12;0;
 65.7854;24.4251;428839;341331;NA;17.1;1;
 56.9226;12.3842;-159544;-673742;5;18.1;0;
 59.9626;10.6541;-242039;-329716;242;19.1;0;
 66.8341;13.7676;-54033;427180;0;17.6;4;
 62.9764;18.524;177951;2253;27;17;5;
 55.6827;12.5563;-154324;-812813;25;18.6;0;
 59.8109;10.2659;-264864;-345036;222;20.5;0;
 69.9662;23.358;320075;797487;0;14.8;0;
 58.4536;6.55759;-491209;-473758;71;17.9;0;
 55.7;12.5946;-151834;-810967;10;17.7;0;
 59.5208;18.1145;175904;-382840;48;21.4;0;
 58.6523;9.14207;-339328;-468424;8;15.1;0;
 59.904;11.0844;-218502;-337768;NA;20.9;1;
 60.1082;24.4458;522208;-283264;12;20.8;0;
 60.0739;11.1449;-213997;-319089;168;22.3;0;
 62.0757;5.54121;-490837;-66617;14;22.4;0;
 55.7912;12.5076;-156927;-800549;35;17.2;0;
 62.6371;31.0623;812418;61643;139.3;19.7;5;
 59.7671;10.0109;-279481;-348821;153;19;0;
 60.9895;25.6808;573676;-175850;130;24.8;0;
 58.1547;8.06725;-407337;-517413;79;17.8;0;
 59.8138;10.3641;-259357;-345114;206;20.6;0;
 56.3081;13.3668;-101375;-744429;93;16.2;0;
 63.3895;10.4104;-228404;51465;50;24.6;0;
 58.1583;8.00997;-410646;-516649;21;18.5;0;
 60.0849;10.0996;-271828;-313918;116;19.6;0;
 54.8923;9.6816;-342887;-890190;NA;22.4;1;
 55.5836;12.9442;-130192;-824769;9;17.9;0;
 61.1674;11.2776;-199599;-198031;NA;20.9;1;
 69.64;18.9123;152377;744740;37;12.5;0;
 58.5941;16.1744;68237;-489757;23;22.3;0;
 58.0781;7.02782;-469174;-518818;108;19;0;
 59.1416;10.1791;-275296;-419025;74;17.5;0;
 61.9364;5.11496;-515158;-78600;13;27.3;4;
 60.0707;23.6513;479122;-293584;46.8504;19.9;0;
 58.9697;5.71867;-531420;-410089;53;22.4;4;
 60.0048;10.926;-226619;-326018;157;23.4;0;
 62.2072;6.0859;-460738;-56172;45;24.7;0;
 58.8844;8.95821;-347520;-441677;262;14.4;0;
 57.4008;10.4371;-274357;-613815;60;16.8;0;
 55.7414;12.5463;-154705;-806217;21.0149;17.6;0;
 63.8241;23.1695;399689;117062;5;16.4;5;
 56.0388;12.5853;-150996;-773026;36;16.6;0;
 62.5627;7.68286;-374104;-27319;22;29.2;0;
 59.9628;10.7757;-235275;-330145;NA;21.4;1;
 55.3771;12.0953;-184966;-845818;26;17.9;0;
 57.4012;12.1865;-169256;-619805;60;17.5;0;
 55.6827;12.485;-158825;-812639;13;20.5;0;
 59.9625;11.0376;-220710;-331107;107;22;0;
 55.8189;12.5415;-154675;-797530;25.6508;16.8;0;
 56.3908;16.5438;95605;-735315;8;18.9;5;
 58.9622;5.72643;-531099;-410981;36;15.2;0;
 59.9476;10.7917;-234496;-331892;150;21.2;0;
 59.8019;10.8055;-234786;-348132;171.658;23.1;0;
 58.8755;9.47015;-318234;-445315;33;17.3;0;
 58.921;5.87172;-523484;-416717;88;15.8;0;
 59.7627;10.1368;-272479;-349850;120;19.3;0;
 55.5181;11.1147;-246388;-826745;1;21.7;0;
 55.6843;12.5251;-156287;-812558;31;17.8;0;
 70.8741;25.8614;398007;912248;0;12.9;5;
